Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Ausländische Arbeitslose;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Beschäftigtenquote Ausländer;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Bruttoverdienst;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner;Bruttoinlandsprodukt je Einwohner
;;;2016Arbeitslosenquote;2017Arbeitslosenquote;2018Arbeitslosenquote;2019Arbeitslosenquote;2020Arbeitslosenquote;2021Arbeitslosenquote;2016Ausländische Arbeitslose;2017Ausländische Arbeitslose;2018Ausländische Arbeitslose;2019Ausländische Arbeitslose;2020Ausländische Arbeitslose;2021Ausländische Arbeitslose;2022Ausländische Arbeitslose;2016Beschäftigtenquote Ausländer;2017Beschäftigtenquote Ausländer;2018Beschäftigtenquote Ausländer;2019Beschäftigtenquote Ausländer;2020Beschäftigtenquote Ausländer;2021Beschäftigtenquote Ausländer;2022Beschäftigtenquote Ausländer;2016Bruttoverdienst;2017Bruttoverdienst;2018Bruttoverdienst;2019Bruttoverdienst;2020Bruttoverdienst;2021Bruttoverdienst;2016Haushaltseinkommen;2017Haushaltseinkommen;2018Haushaltseinkommen;2019Haushaltseinkommen;2020Haushaltseinkommen;2021Haushaltseinkommen;2016Kaufkraft;2017Kaufkraft;2018Kaufkraft;2019Kaufkraft;2020Kaufkraft;2021Kaufkraft;2016Bruttoinlandsprodukt je Einwohner;2017Bruttoinlandsprodukt je Einwohner;2018Bruttoinlandsprodukt je Einwohner;2019Bruttoinlandsprodukt je Einwohner;2020Bruttoinlandsprodukt je Einwohner;2021Bruttoinlandsprodukt je Einwohner
03359;Stade;Kreise;5,78;5,57;5,21;5,05;5,85;6,01;17,13;22,29;24,05;25,34;26,08;26,02;29,82;39,11;42,67;44,84;48,18;50,66;51,13;48,41;2.541,09;2.586,15;2.601,87;2.668,43;2.610,45;2.683,60;1.809,11;1.879,20;1.951,16;1.995,87;2.020,25;2.041,36;25.153,37;25.508,55;25.547,14;25.171,02;26.231,83;27.015,62;29,13;29,62;30,38;32,38;31,52;35,28
03360;Uelzen;Kreise;6,07;5,81;5,35;5;5,47;5,01;11,13;11,77;13,33;13,74;15,72;15,46;21,52;32,44;35,31;38,13;43,35;45,61;47,54;40,99;2.233,44;2.290,17;2.374,29;2.446,01;2.478,05;2.528,07;1.655,23;1.727,05;1.792,66;1.867,00;1.879,85;1.898,62;22.537,12;23.236,66;23.328,57;23.005,35;24.080,98;24.968,02;26,4;27,44;27,92;28,78;28,99;30,81
03361;Verden;Kreise;5,1;4,81;4,25;3,95;4,06;3,55;27,67;30,53;28,8;26,65;23,8;24,94;31,93;33,28;38,28;41,18;46,14;48,01;51,13;48,95;2.487,44;2.543,04;2.618,17;2.705,09;2.687,87;2.789,32;1.872,92;1.916,34;2.022,52;2.053,46;2.056,88;2.074,97;24.570,48;25.283,70;25.282,10;24.964,09;26.225,45;27.008,36;29,28;30,16;31,07;33,03;32,36;33,81
03401;Delmenhorst, Stadt;Kreise;10,56;10,25;9,21;9,37;10,46;10,14;29,51;33,28;33,52;36,36;36,23;37,1;39,26;32,36;33,4;37,55;39,05;38,49;42,48;44,75;2.027,39;2.106,75;2.214,57;2.336,45;2.384,07;2.449,30;1.530,32;1.568,98;1.624,29;1.646,73;1.681,29;1.716,29;21.181,49;21.667,02;21.607,38;21.261,66;22.170,50;23.189,33;22,08;22,59;22,84;23,62;24,3;25,32
03402;Emden, Stadt;Kreise;8,7;8,66;8,11;8,15;8,97;8,46;15,81;19,09;20,24;21,41;23,44;23,24;26,56;32,64;33,57;38,13;38,47;36,17;41,33;37,45;3.022,16;3.073,39;3.216,89;3.309,87;3.204,26;3.171,06;1.489,62;1.523,28;1.567,81;1.616,20;1.654,80;1.681,42;21.322,87;21.998,23;22.000,73;21.652,53;22.634,44;23.410,31;69,89;68,41;72,51;75,25;65,23;67,11
03403;Oldenburg (Oldenburg), Stadt;Kreise;7,5;7,35;6,55;6,14;7;6,51;20,73;21,65;22,06;24,29;25,99;26,88;28,81;33,89;34,92;38,64;42,93;43,39;46,15;47,12;2.610,12;2.686,33;2.791,33;2.881,49;2.929,18;3.016,82;1.591,71;1.638,87;1.725,43;1.745,52;1.766,71;1.792,90;22.980,48;23.627,92;23.669,46;23.272,25;24.379,47;25.124,98;44,31;45,37;46,75;48,71;48,93;50,23
03404;Osnabrück, Stadt;Kreise;7,86;7,55;7,01;6,6;7,46;7,11;31,46;33,07;31,65;31,03;32,99;34,18;37,39;35,99;39,43;42,5;44,81;46,67;48,92;46,77;2.571,37;2.617,74;2.711,74;2.781,65;2.811,50;2.933,42;1.693,98;1.731,05;1.817,37;1.813,46;1.840,67;1.855,80;22.632,50;23.380,98;23.385,89;23.034,60;24.082,56;24.777,55;47,31;48,9;49,74;51,95;51,9;53,14
03405;Wilhelmshaven, Stadt;Kreise;11,87;11,35;10,66;10,33;11,76;10,85;16,06;19,11;19,47;19,98;21,35;21,55;24,06;32,42;31,84;36,88;37,92;43,01;46,33;43,81;2.555,50;2.625,37;2.714,50;2.766,95;2.846,57;2.907,41;1.471,01;1.503,98;1.554,90;1.591,66;1.641,49;1.664,30;21.710,37;21.968,76;21.979,02;21.603,32;22.620,06;23.527,88;39,06;40,24;41,95;42,39;42,9;45,57
03451;Ammerland;Kreise;4,35;4,27;3,8;3,62;4,12;3,91;17,46;19,38;17,15;18,2;19,94;21,27;28,76;47,09;49,12;53,51;55,79;57,51;59,69;53,04;2.387,02;2.459,24;2.507,23;2.563,79;2.562,35;2.652,74;1.763,28;1.826,11;1.912,00;1.953,79;1.938,80;1.958,87;24.214,84;24.661,78;24.815,50;24.445,08;25.539,58;26.421,50;28,26;30,09;30,92;32,22;32,9;34,11
03452;Aurich;Kreise;7,22;6,91;6,56;6,33;7,03;6,5;12,19;15,13;16,82;15,73;16,07;16,41;20,77;39,56;43,5;47,56;49,88;48,04;51,69;48,49;2.147,45;2.213,69;2.279,99;2.326,10;2.334,14;2.386,74;1.614,42;1.677,80;1.743,38;1.795,62;1.810,68;1.841,12;21.048,91;21.881,39;21.981,45;21.702,17;22.720,24;23.804,70;24,98;26,31;26,43;27,29;26,93;27,65
03453;Cloppenburg;Kreise;5,23;4,75;4,03;3,88;4,49;4,39;20,33;21,7;20,28;21,99;24,1;25,81;28,86;52,78;57,56;61,48;66,59;66,56;70,35;67,74;2.156,86;2.188,37;2.274,00;2.348,43;2.372,04;2.466,62;1.661,60;1.759,33;1.805,33;1.886,88;1.843,54;1.842,91;20.911,71;21.624,31;21.744,42;21.457,36;22.409,00;23.261,30;32,43;33,86;33,9;35,38;36,44;36,39
03454;Emsland;Kreise;3,24;2,99;2,49;2,36;3,04;2,91;17,71;21,79;21,47;21,7;24,2;23,96;31,2;40,69;42,04;46,61;51,94;52,99;56,41;56,07;2.391,38;2.485,59;2.557,97;2.623,22;2.626,43;2.716,68;1.703,93;1.780,22;1.864,62;1.931,47;1.919,19;1.925,38;21.704,28;22.560,59;22.694,85;22.363,58;23.425,47;24.495,34;39,2;41,63;41,89;43,9;43,13;45,57
03455;Friesland;Kreise;5,25;5,25;4,73;4,3;4,7;4,33;9,92;14,37;15,03;15,27;15,29;16,15;17,6;32,49;37,73;41,58;47,63;50,02;53,62;46,52;2.365,10;2.441,79;2.486,69;2.575,66;2.529,29;2.597,32;1.651,63;1.730,19;1.792,41;1.854,83;1.869,95;1.899,50;22.633,54;23.352,35;23.498,25;23.168,20;24.291,56;25.360,22;25,82;27,05;27,34;27,92;26,9;28,44
03456;Grafschaft Bentheim;Kreise;3,94;3,71;2,99;2,48;3,02;2,74;24,17;27,58;27,43;26,03;28,48;29,38;37,77;28,3;30,02;31,73;33,77;34,09;37,24;37,22;2.194,43;2.255,45;2.355,86;2.432,69;2.450,94;2.533,35;1.604,46;1.678,78;1.753,33;1.825,22;1.827,21;1.840,15;21.061,27;21.924,14;22.118,77;21.779,67;22.872,41;24.009,18;30,04;30,96;32,01;33,58;34,82;36,36
03457;Leer;Kreise;6,12;6,03;5,61;5,23;5,92;5,59;14,05;17,91;17,73;17,03;18,51;19,43;23,33;25,38;28,95;32,37;34,8;35,68;37,56;37,06;2.114,99;2.147,80;2.240,21;2.324,23;2.346,65;2.406,49;1.546,01;1.604,95;1.672,18;1.730,51;1.747,78;1.764,24;20.828,99;21.540,23;21.670,74;21.400,78;22.372,77;23.497,16;24,23;25,42;25,6;26,92;26,29;27,89
03458;Oldenburg;Kreise;4,05;3,74;3,47;3,1;3,65;3,35;18,61;22,54;22,03;22,39;22,13;22,66;26,93;58,15;60,01;64;68,4;67,53;72,24;66,12;2.189,01;2.232,69;2.273,47;2.322,37;2.342,50;2.404,61;1.843,20;1.906,41;1.977,78;2.040,96;2.038,55;2.059,57;23.771,90;24.421,86;24.589,07;24.236,91;25.421,97;26.268,96;22,46;23,74;24,69;25,74;25,85;27,48
03459;Osnabrück;Kreise;3,69;3,4;3,11;2,9;3,54;3,22;18,1;19,55;20,21;20,6;22,18;22,59;28,4;44,33;48,26;50,79;53,46;52,32;53,55;52,1;2.274,25;2.339,13;2.421,13;2.475,57;2.482,14;2.585,33;1.813,57;1.872,82;1.949,40;1.974,70;1.979,84;2.001,53;22.555,76;23.353,50;23.513,22;23.134,22;24.236,14;25.385,69;28,87;29,67;30,4;31,78;32,05;33,1
03460;Vechta;Kreise;4,16;3,93;3,46;3,41;4,25;3,67;38,62;39,41;40,09;40,39;42,39;41,28;46,58;54,37;57,33;60,63;63,11;63,15;67,11;66,23;2.371,32;2.401,45;2.519,94;2.561,40;2.562,75;2.628,83;1.800,70;1.899,48;1.939,72;1.998,18;1.968,91;1.975,63;23.202,78;23.231,26;23.309,81;22.951,46;24.108,90;24.929,88;42,56;43,86;44,79;46,05;46,9;48,55
03461;Wesermarsch;Kreise;7,15;6,85;6,44;5,84;6,74;6,22;16,65;19,17;18,13;18,32;20,74;22,07;26,24;32,97;35,46;39,55;41,38;44,09;48,16;44,59;2.823,20;2.875,85;2.930,28;3.054,09;3.002,51;3.050,84;1.718,87;1.774,84;1.833,88;1.898,70;1.928,36;1.957,98;21.882,77;22.700,10;22.836,00;22.464,93;23.505,26;24.565,66;33,93;35,22;32,2;33,44;36,06;35,82
03462;Wittmund;Kreise;6,56;6,25;5,63;5,35;6,21;5,76;9,47;11,16;11,86;11,19;12;13,68;21,19;44,09;46,31;50,05;52,07;45,81;47,14;41,51;2.106,26;2.179,89;2.255,02;2.279,80;2.310,07;2.379,88;1.671,91;1.748,72;1.818,72;1.851,81;1.853,15;1.865,86;21.082,78;21.981,51;22.025,73;21.657,86;22.676,53;23.912,38;24,23;25,6;25,94;28,24;27,2;28,08
04011;Bremen, Stadt;Kreise;9,68;9,66;9,3;9,48;10,67;10,25;33,46;36,86;37,82;40,42;41,99;43,44;46,43;32,46;34,16;36,12;39,23;40,34;44,45;44,63;2.956,88;3.038,50;3.098,99;3.165,41;3.131,57;3.223,05;1.716,98;1.787,81;1.859,69;1.885,31;1.907,15;1.956,98;22.310,09;22.914,28;22.837,90;22.541,23;23.545,30;24.417,36;48,53;49,96;50,91;51,44;49,69;54,99
04012;Bremerhaven, Stadt;Kreise;14,62;13,05;12,56;12,19;13,83;13,12;28,23;27,56;29,07;30,37;32,51;31,84;36,32;35,08;38,36;39,92;42,28;40,32;44,84;43,79;2.922,77;2.996,07;3.069,37;3.131,97;3.111,30;3.178,34;1.412,34;1.462,13;1.507,78;1.553,25;1.589,61;1.616,14;20.092,60;20.742,26;20.959,94;20.694,42;21.618,39;22.244,77;34,53;35,5;34,72;35,03;35,37;36,92
05111;Düsseldorf, Stadt;Kreise;7,82;7,37;6,73;6,62;7,77;7,85;36,36;38,35;38,35;40,11;41,4;42,41;42,83;41,39;44,39;47,57;50,02;51,76;53,87;55,3;3.580,05;3.646,39;3.768,62;3.847,53;3.845,95;3.969,89;2.045,18;2.136,67;2.170,81;2.223,41;2.264,40;2.322,88;28.228,00;28.741,69;28.528,48;28.075,39;29.275,39;30.047,69;76,66;79,08;83,52;83,76;83,9;87,41
05112;Duisburg, Stadt;Kreise;13,01;12,49;11,41;10,81;12,1;12,27;36,29;39,57;40,16;41,39;43,02;43,87;47,21;30,99;34,61;38,04;40,37;41,51;43,72;44,04;2.970,27;3.018,75;3.102,33;3.214,60;3.161,25;3.235,47;1.343,61;1.386,62;1.443,84;1.482,92;1.540,41;1.570,22;20.417,32;21.031,96;21.081,06;20.791,94;21.647,86;22.416,12;32,59;35,02;36,44;35,72;34,25;37,08
05113;Essen, Stadt;Kreise;11,93;11,39;10,61;10,21;11,04;10,75;32,15;34,88;36,19;36,66;37,21;38,93;41,86;25,52;28,18;30,63;33,7;34,45;37,64;38,66;2.949,41;3.036,15;3.153,74;3.256,55;3.278,45;3.382,91;1.616,25;1.654,05;1.719,92;1.755,63;1.803,95;1.851,15;23.786,76;24.343,17;24.399,11;24.069,09;25.133,44;25.932,02;40,84;42,29;44,19;45,19;44,57;46,79
05114;Krefeld, Stadt;Kreise;10,65;10,43;10,16;10,05;11,11;10,81;25,6;28,59;29,8;31,93;33,99;35,15;37,75;36,02;39,93;42,34;44;44,98;47,63;47,77;2.969,91;3.010,07;3.090,70;3.225,64;3.222,62;3.336,41;1.690,45;1.747,93;1.802,02;1.830,33;1.876,27;1.918,94;23.637,41;24.233,34;24.205,59;23.853,65;24.903,55;25.773,94;36,64;39,91;41,41;41,42;41,77;43,17
05116;Mönchengladbach, Stadt;Kreise;10,45;10,22;9,75;8,95;10,02;10,28;23,4;26,27;27,16;28,91;30,82;31,36;32,34;31,71;34,66;38,19;40,49;42,36;43,5;41,02;2.575,87;2.622,54;2.774,84;2.848,39;2.820,60;2.926,83;1.636,58;1.686,73;1.746,20;1.786,64;1.833,12;1.863,04;23.070,18;23.652,37;23.648,54;23.307,80;24.270,62;24.955,09;32,41;33,84;34,15;34,75;34,6;35,68
05117;Mülheim an der Ruhr, Stadt;Kreise;8,35;7,99;7,35;7,14;8,31;8,51;35,25;37,63;38,38;38,71;40,03;42,91;46,76;28,13;30,62;33,43;35,38;37,06;39,1;40,26;3.014,37;3.000,86;3.197,19;3.302,21;3.261,24;3.330,73;1.805,65;1.856,18;1.925,70;1.981,63;2.020,37;2.067,09;25.758,11;26.401,59;26.363,90;25.914,31;26.990,13;27.816,22;32,17;33,85;36,49;36,38;34,76;37,04
05119;Oberhausen, Stadt;Kreise;11,12;10,75;10,17;9,84;10,76;10,43;28,16;29,42;30,09;32,74;35,13;35,86;39,18;30,5;32,88;36,19;38,29;39,26;41,71;42,02;2.620,65;2.641,41;2.691,77;2.801,89;2.799,98;2.853,66;1.466,13;1.501,71;1.571,99;1.608,88;1.664,09;1.704,41;22.012,83;22.588,46;22.613,55;22.278,79;23.249,48;24.132,35;26,88;25,56;27,65;27,25;27,21;28,3
05120;Remscheid, Stadt;Kreise;8,7;8,47;7,42;7,05;7,97;7,49;32,56;35,13;35,01;35,66;35,96;36,63;40,57;37,14;40,21;42,8;44,68;45,1;47,6;48,45;2.861,53;2.942,11;3.032,10;3.134,04;3.109,59;3.198,19;1.758,08;1.836,69;1.951,71;1.884,54;1.913,95;1.942,79;23.902,92;24.531,24;24.517,18;24.148,05;25.269,11;25.990,12;34,75;35,42;36,18;38,09;36,46;38,65
05122;Solingen, Klingenstadt;Kreise;8,86;8,35;7,63;7,06;8,15;7,78;33,5;34,82;35,16;36,36;36,53;38,07;40,74;38,86;41,32;44,42;46,95;47,29;49,8;49,32;2.664,91;2.695,42;2.786,52;2.866,44;2.872,99;2.995,35;1.830,41;1.888,38;1.974,65;1.980,77;2.015,00;2.056,02;24.020,01;24.657,82;24.761,39;24.392,22;25.510,04;26.345,37;30,14;31,04;31,91;32,77;32,6;34,27
05124;Wuppertal, Stadt;Kreise;9,75;9,27;8,35;8,1;9,95;9,5;37,41;41,33;40,81;42,02;43;44,18;46,74;31,84;34,07;36,7;38,58;38,91;42,7;43,32;2.858,32;2.910,46;3.003,20;3.074,13;3.089,75;3.128,49;1.694,85;1.715,46;1.796,41;1.773,53;1.811,34;1.845,35;23.326,38;23.873,88;23.789,02;23.335,62;24.411,42;25.139,69;36,47;36,72;36,76;37,79;36,4;38,08
05154;Kleve;Kreise;6,47;6,22;5,63;5,15;5,46;5,28;21;24,09;25,25;26,3;27,65;27,83;31,09;27,2;29,63;32,99;33,79;34,12;35,71;35,06;2.274,07;2.341,91;2.437,76;2.493,53;2.513,75;2.585,01;1.623,11;1.676,13;1.734,19;1.826,70;1.833,32;1.860,61;22.079,70;22.772,84;22.877,10;22.595,89;23.623,89;24.645,77;28,46;29,91;30,64;31,98;31,76;33,63
05158;Mettmann;Kreise;6,54;6,23;5,76;5,64;6,7;6,69;27,65;29,62;29,46;31,12;32,95;34,35;38,21;38,96;41,63;44,38;47,28;47,98;49,8;48,78;3.084,13;3.212,17;3.320,21;3.415,36;3.394,03;3.502,46;1.996,45;2.047,95;2.116,24;2.164,71;2.205,27;2.256,05;26.246,42;26.660,31;26.630,32;26.148,27;27.283,34;28.064,01;37,62;40,46;40,85;42,45;41,2;44,05
05162;Rhein-Kreis Neuss;Kreise;5,65;5,68;5,28;5;5,89;5,81;24,25;26,83;28,87;30,46;32,66;33,36;35,44;40,48;43,73;46,46;50,38;52,04;55,15;54,71;3.023,45;3.091,41;3.138,07;3.228,63;3.196,77;3.266,53;1.974,03;2.028,38;2.092,31;2.141,70;2.174,53;2.229,46;26.632,42;26.922,35;26.950,39;26.514,66;27.669,10;28.505,37;38,83;40,17;40,78;40,15;39,16;42,02
05166;Viersen;Kreise;6,78;6,43;5,92;5,29;5,96;5,78;20,64;22,03;22,02;22,29;22,49;22,48;25,86;36,16;38,94;41,15;42,83;44,14;46,42;44,65;2.464,82;2.504,28;2.552,78;2.614,49;2.607,36;2.673,85;1.809,49;1.859,98;1.950,75;2.013,81;2.040,05;2.084,81;24.115,52;24.649,95;24.743,84;24.356,83;25.447,08;26.563,46;27,37;27,9;28,71;29,84;30,35;30,9
05170;Wesel;Kreise;7,08;6,87;6,27;5,94;6,6;6,45;19,62;22,88;22,71;23,45;24,73;25,84;29,42;32,18;35,9;39,77;41,83;42,87;45,29;42,61;2.388,74;2.440,12;2.511,54;2.599,97;2.623,12;2.705,30;1.723,36;1.783,54;1.864,10;1.916,75;1.953,55;1.998,46;23.611,80;24.403,41;24.453,78;24.102,83;25.158,08;26.186,10;27,08;28,01;28,81;30,05;29,92;31,69
05314;Bonn, Stadt;Kreise;7,13;6,68;6,44;6,32;7,51;7,67;31,15;30,76;32,53;34,03;35,59;37,25;38,62;37,45;39,16;42,04;44,14;45,97;48,26;47,7;3.243,06;3.305,40;3.464,19;3.587,04;3.617,46;3.712,73;1.852,43;1.877,21;1.936,44;1.964,56;2.003,65;2.046,41;25.851,38;26.575,47;26.499,12;26.063,96;27.158,14;27.938,72;69,45;72,62;81,07;75,84;77,75;81,84
05315;Köln, Stadt;Kreise;8,72;8,41;7,87;7,81;9,17;9,34;35,16;36,71;36,32;37,71;39,04;40,34;41,79;37;39,56;41,95;44,67;45,44;48,41;49,23;3.249,82;3.325,77;3.439,03;3.551,03;3.557,47;3.655,56;1.759,18;1.827,52;1.921,63;1.941,03;1.985,41;2.052,62;25.232,78;25.805,87;25.684,43;25.316,29;26.373,70;27.060,47;57,44;58,94;60,28;61,03;58,48;62,14
05316;Leverkusen, Stadt;Kreise;8,69;8,15;7,24;7,22;8,16;8,01;30,19;31,54;32,83;34,29;35,29;36,5;38,58;36,85;40,15;43,52;46,65;46,86;48,56;47,55;3.526,67;3.620,44;3.751,66;3.832,03;3.637,23;3.674,82;1.705,90;1.765,24;1.829,47;1.879,70;1.921,17;1.961,49;24.009,64;24.482,52;24.413,50;24.034,95;25.137,67;25.848,52;45,39;49,27;51,73;51,65;46,56;51,38
05334;Städteregion Aachen;Kreise;8,1;7,8;7,03;6,85;7,85;7,77;27,07;29,13;29,7;31,16;32,42;33,17;35,42;33,58;36,13;38,58;40,7;42,01;44,12;44,8;2.743,99;2.816,97;2.900,05;2.993,53;3.024,10;3.105,41;1.608,63;1.649,65;1.753,65;1.760,15;1.798,48;1.839,60;22.756,40;23.535,35;23.504,67;23.166,16;24.150,18;25.003,78;35,76;36,92;38,07;39,17;38,85;40,65
05358;Düren;Kreise;7,22;7,07;6,74;6,34;7,02;6,86;21,96;24,26;25,06;26,35;27,28;28,26;31,35;32,3;36,01;38,91;41,89;43,25;46,98;45,91;2.480,35;2.543,77;2.628,07;2.694,34;2.738,37;2.813,33;1.664,24;1.710,49;1.791,27;1.836,90;1.866,57;1.898,89;23.159,64;23.777,36;23.850,78;23.579,45;24.583,58;25.454,24;28,17;28,86;29,58;30,67;31,14;31,76
05362;Rhein-Erft-Kreis;Kreise;7,21;6,74;6,08;5,71;6,95;6,89;26,69;28,08;29,94;31,25;33,24;33,29;36,39;41,76;45,02;47,45;51,67;54,19;56,7;55,32;2.719,93;2.781,24;2.845,80;2.931,85;2.938,75;3.021,78;1.778,54;1.824,17;1.911,78;1.954,00;1.996,67;2.036,97;24.757,55;25.140,24;25.179,07;24.751,06;25.818,22;26.591,33;34,39;36,26;35,67;36,65;35,55;37,66
05366;Euskirchen;Kreise;5,61;5,41;5,14;4,87;5,74;5,93;15,21;18,34;19,47;20,21;21,49;22,05;25,27;33,17;36,9;40,9;44,73;47,25;50,8;48,1;2.424,95;2.485,46;2.563,76;2.627,69;2.653,87;2.740,40;1.710,52;1.766,64;1.840,06;1.879,96;1.899,41;1.937,05;23.170,88;23.805,78;23.898,36;23.554,80;24.561,25;25.616,79;26,19;27,33;27,96;28,2;28,38;29,78
05370;Heinsberg;Kreise;5,97;5,66;5,2;5,01;5,75;5,42;17,82;20,17;19,98;20,38;21,63;21,82;25,98;27,94;32,32;35,19;36,97;38,48;40,62;40,01;2.269,66;2.315,87;2.411,99;2.505,84;2.522,44;2.606,06;1.610,44;1.658,41;1.740,24;1.795,54;1.820,06;1.850,63;22.278,80;23.120,27;23.189,03;22.857,97;23.916,51;24.958,82;23,83;25,01;25,84;26,67;26,64;27,79
05374;Oberbergischer Kreis;Kreise;5,45;5,25;4,61;4,85;5,98;5,49;21,56;23,64;23,08;24,28;25,64;26,17;29,78;36,77;41,36;45,67;48,71;48,31;51,59;49,5;2.728,23;2.807,16;2.916,37;3.001,21;2.940,56;3.039,97;1.813,17;1.869,79;1.969,38;1.969,55;1.997,14;2.040,40;23.421,34;24.278,85;24.240,56;23.851,75;24.985,37;25.966,11;34,24;35,19;36,11;37,04;35,86;37,88
05378;Rheinisch-Bergischer Kreis;Kreise;6,18;6;5,3;5,22;6,12;6,05;22,76;25,5;25,28;26,52;27,1;27,97;32,39;37,32;40,36;44,17;47,38;49,82;52;50;2.537,25;2.598,83;2.740,93;2.769,62;2.762,49;2.886,01;2.058,34;2.116,07;2.204,15;2.245,30;2.275,67;2.331,37;27.530,89;28.146,61;28.109,00;27.647,64;28.857,79;29.740,85;25,05;26,02;28,08;29,18;27,71;29,02
05382;Rhein-Sieg-Kreis;Kreise;5,41;5,18;4,88;4,85;5,65;5,61;25,04;27,15;28,2;28,9;29,27;30,18;33,51;37,67;40,46;44,37;47,57;48,65;51,4;49,27;2.443,58;2.506,39;2.598,04;2.661,96;2.682,12;2.760,48;1.874,64;1.923,82;2.010,20;2.054,51;2.086,18;2.133,99;25.175,38;25.806,39;25.807,75;25.414,52;26.512,80;27.534,38;26,58;27,68;28,13;28,9;28,82;29,93
05512;Bottrop, Stadt;Kreise;7,63;7,74;6,81;7;8,17;7,95;22,94;25,15;25,68;29,38;31,08;31,7;33,92;30,65;32,58;34,9;36,05;37,44;40,1;40,85;2.465,44;2.511,16;2.626,06;2.579,10;2.587,64;2.681,53;1.583,35;1.633,90;1.708,44;1.770,42;1.815,87;1.857,38;22.668,20;23.387,89;23.503,84;23.159,80;24.182,63;25.114,18;20,25;21,38;23,66;24,11;23,82;24,57
05513;Gelsenkirchen, Stadt;Kreise;14,68;13,98;13,19;12,83;14,87;14,8;32,01;35,05;36,36;39,04;41,73;43,14;45,26;26,69;29,06;31,45;33,98;34,03;35,66;36,58;2.682,21;2.776,16;2.820,26;2.901,49;2.958,34;3.064,81;1.292,51;1.330,89;1.384,07;1.419,54;1.475,04;1.490,75;20.686,92;21.324,11;21.448,51;21.121,84;22.023,77;22.783,39;28,93;30,44;30,78;32,16;31,16;33,69
05515;Münster, Stadt;Kreise;5,71;5,4;4,95;4,59;5,15;4,92;24,46;27,04;27,89;29,31;28,72;28,88;30,73;36,3;38,09;40,35;41,15;43,75;46,15;47;2.926,70;2.976,34;3.074,39;3.158,64;3.189,79;3.270,54;1.802,17;1.873,28;1.915,87;1.965,29;1.980,85;2.021,99;25.291,02;25.877,87;25.888,94;25.528,88;26.697,88;27.386,03;51,56;54,07;55,68;57,63;57,37;59,17
05554;Borken;Kreise;3,92;3,73;3,44;3,43;3,99;3,59;22,48;27,81;26,76;27,08;26,94;27,23;34,07;30,67;33,56;35,09;36,58;37,41;41,34;40,83;2.428,73;2.475,64;2.550,66;2.628,69;2.637,02;2.718,51;1.761,04;1.818,20;1.939,88;1.994,75;1.995,50;2.022,43;22.608,48;23.453,62;23.544,93;23.225,95;24.373,24;25.515,94;35,54;36,87;37,42;39,04;38,98;40,63
05558;Coesfeld;Kreise;3;2,98;2,75;2,72;3,11;2,89;14,62;21,91;22,47;25,69;23,69;24,86;30,29;35,44;37,77;40,13;42,59;45,41;49,9;46,24;2.318,38;2.376,59;2.466,59;2.525,31;2.532,05;2.625,38;1.869,21;1.946,03;2.011,22;2.071,38;2.084,03;2.122,23;24.292,85;25.328,87;25.358,07;25.039,75;26.236,00;27.441,82;27,45;28,4;28,65;29,79;30,49;31,81
05562;Recklinghausen;Kreise;10,4;10,22;9,22;8,08;8,85;8,52;23,54;26,89;28,12;29,27;30,14;31,74;33,77;34,79;35,66;38,99;41,04;41,66;44,39;43,88;2.485,21;2.545,70;2.632,82;2.700,68;2.698,93;2.768,88;1.596,22;1.640,10;1.720,08;1.770,10;1.817,14;1.857,49;22.592,92;23.482,87;23.675,25;23.344,33;24.386,28;25.522,10;24,35;25,43;26,29;27,1;26,79;27,7
05566;Steinfurt;Kreise;4,66;4,45;4,02;3,96;4,51;4,11;25,72;30,43;31,01;31;29,77;30,08;35,6;37,82;39,92;42,22;43,49;44,19;47,53;46,65;2.403,08;2.464,10;2.565,72;2.632,49;2.641,37;2.737,76;1.758,91;1.810,92;1.890,22;1.962,70;1.978,51;2.009,70;22.506,83;23.441,63;23.506,76;23.196,97;24.337,89;25.366,60;30,69;31,71;32,84;33,67;34,87;36,45
