Kennziffer;Raumeinheit;Aggregat;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Krankenhausversorgung;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Betreuungsquote Kleinkinder;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen;Kinder ausländischer Herkunft in Tageseinrichtungen
;;;2016Krankenhausversorgung;2017Krankenhausversorgung;2018Krankenhausversorgung;2019Krankenhausversorgung;2020Krankenhausversorgung;2021Krankenhausversorgung;2016;2017;2018;2019;2020;2016;2017;2018
07318;Speyer, kreisfreie Stadt;Kreise;12,88;12,78;13,62;13,11;13,52;13,57;35,89;32,41;36,63;38,36;38,11;34,82;31,47;27,52
07319;Worms, kreisfreie Stadt;Kreise;8,43;8,38;8,35;8,33;8,34;8,3;19,2;18,85;20,89;21,95;22,47;44,51;40,33;41,29
07320;Zweibrücken, kreisfreie Stadt;Kreise;6,36;0;0;0;0;0;30,16;30;30,71;31,38;35,92;35,41;38,91;39,45
07331;Alzey-Worms;Kreise;4,83;4,62;4,77;4,48;4,74;4,61;31,17;31,78;31,85;31,53;33,09;28,57;26,06;27,98
07332;Bad Dürkheim;Kreise;3,93;3,8;3,99;3,94;3,97;3,96;30,5;33,2;33,83;35,89;35,61;24,17;25,82;25,32
07333;Donnersbergkreis;Kreise;2,7;2,7;2,7;2,69;2,69;2,69;28,92;31,48;32,39;33,27;33,68;29,86;30,73;27,93
07334;Germersheim;Kreise;2,5;2,49;2,38;2,48;2,39;2,46;28,37;31,77;30,88;31,37;33,01;39,03;38,28;35,05
07335;Kaiserslautern;Kreise;5,03;5,03;5,37;5,37;4,62;4,6;30,9;29,76;28,43;30,18;26,77;33,89;34,04;31,04
07336;Kusel;Kreise;0;0;0;0;0;0;26,71;26,43;26,09;25,56;27,39;23,11;24,05;22,15
07337;Südliche Weinstraße;Kreise;6,35;6,36;6,74;6,7;6,42;6,39;32,02;31,35;33,84;34,18;36,27;21,03;19,49;19,94
07338;Rhein-Pfalz-Kreis;Kreise;0;0;0;0;0;0;32,55;32,26;31,91;34,55;35;27,72;29,21;28,33
07339;Mainz-Bingen;Kreise;1,64;1,61;1,38;1,58;0,75;0,72;36,03;40,97;40,02;40,31;40,79;24,3;24,23;24,91
07340;Südwestpfalz;Kreise;2,38;2,25;2,26;2,27;2,27;2,27;34,16;36,84;38,83;38,9;40,28;14,52;13,74;13,59
08111;Stuttgart, Stadtkreis;Kreise;7,91;7,84;7,58;7,74;7,55;7,53;35,49;36,47;37,99;38,42;39,5;50,15;50,72;51,1
08115;Böblingen;Kreise;2,85;2,82;2,89;2,91;2,88;2,8;24,34;25,49;25,94;27,11;28,13;40,56;43,29;42,71
08116;Esslingen;Kreise;3,56;3,57;3,58;3,47;3,52;3,46;24,58;26,13;27;27,74;27,14;38,52;38,56;38,75
08117;Göppingen;Kreise;4,87;4,86;4,84;4,97;4,8;4,5;18,72;19,95;20,8;22,39;23,69;39,89;40,39;41,39
08118;Ludwigsburg;Kreise;3,2;3,22;3,29;3,29;3,12;2,62;26,5;26,98;27,81;29;29,27;41,49;39,79;40,48
08119;Rems-Murr-Kreis;Kreise;3,15;3,12;3,31;3,26;3,26;3,3;22,02;23,57;24,27;24,12;25,21;36,29;37,61;38,18
08121;Heilbronn, Stadtkreis;Kreise;8,7;8,15;7,91;7,78;7,76;7,84;23,55;22,72;25,56;24,43;25,24;63,62;64,19;64,25
08125;Heilbronn;Kreise;3,59;3,56;3,45;3,45;3,24;3,26;23,3;24,67;25,93;26,1;25,29;35,14;35,31;35,06
08126;Hohenlohekreis;Kreise;2,56;2,54;2,46;2,51;1,77;1,81;17,68;22,2;21,99;23,64;22,79;30,37;32,47;33,68
08127;Schwäbisch Hall;Kreise;3,81;3,82;3,87;3,79;3,87;3,87;17,84;20,39;21,56;22,02;22,79;30,52;32,86;31,74
08128;Main-Tauber-Kreis;Kreise;8,21;7,81;7,74;7,88;7,66;7,68;25,42;27,6;27,64;27,53;29,87;27,4;28,34;29,43
08135;Heidenheim;Kreise;4,08;4,05;3,6;4,03;3,51;3,5;21,81;23,56;24,69;22,99;23,94;39,23;40,57;42
08136;Ostalbkreis;Kreise;3,39;3,38;3,38;3,37;3,37;3,39;21,76;23;23,88;24,78;25,76;28,43;29,33;30,39
08211;Baden-Baden, Stadtkreis;Kreise;13,9;14,55;14,11;13,68;14,1;14,08;30,14;30,55;33,26;32,49;33,12;45,25;45,24;47,74
08212;Karlsruhe, Stadtkreis;Kreise;8,87;8,61;8,24;8,37;8,05;7,67;35,06;36,94;37,6;38,98;41,06;39,4;38,55;39,04
08215;Karlsruhe;Kreise;2,03;2,06;2;2,03;1,98;1,98;29,12;30,3;31,08;33,19;34,33;32,25;33,07;33,22
08216;Rastatt;Kreise;2,59;1,89;1,84;1,84;1,64;1,61;27,19;28,55;28,75;30,81;30,72;36,75;37,49;38,52
08221;Heidelberg, Stadtkreis;Kreise;18,85;18,79;19,3;19,13;19,57;21,27;44,02;43,31;43,8;44,92;47,4;40,57;40,07;40,48
08222;Mannheim, Stadtkreis;Kreise;7,82;7,7;8,25;8,2;7,51;7,38;28,11;29,44;28,25;29,25;29,91;50,97;50,57;51,12
08225;Neckar-Odenwald-Kreis;Kreise;3,5;3,51;3,5;3,5;3,49;3,49;22,8;22,33;24,75;25,99;26,42;29,02;30,8;30,13
08226;Rhein-Neckar-Kreis;Kreise;2,76;2,75;2,75;2,78;2,75;2,76;30,68;31,56;32,02;33,68;35,51;32,63;33,42;33,73
08231;Pforzheim, Stadtkreis;Kreise;9,59;9,66;9,38;9,45;8,82;8,85;17,8;19,72;20,04;18,89;20,05;62,99;63,28;64,25
08235;Calw;Kreise;7,94;7,9;7,66;7,62;7,1;6,94;21,86;24,46;26,1;26,76;27,47;35,42;34,97;35,99
08236;Enzkreis;Kreise;1,63;1,63;1,68;1,64;1,69;1,56;23,62;25,09;26,19;26,95;27,94;31,45;31,97;32,51
08237;Freudenstadt;Kreise;4,1;4,08;3,88;4,05;3,87;3,84;20,65;21,6;22,77;23,58;24,43;30,26;31,82;33,32
08311;Freiburg im Breisgau, Stadtkreis;Kreise;9,83;9,72;9,45;9,42;9,05;10,93;41,08;41,41;42,26;44,28;46,09;40,46;41,44;40,77
08315;Breisgau-Hochschwarzwald;Kreise;5,11;5,1;5,24;5,11;5,07;5,06;28,5;30,53;31,63;33,59;33,76;26,51;27,59;28,55
08316;Emmendingen;Kreise;6,17;6,16;6,17;5,93;6,18;6,14;29,48;31;30,54;32,03;33,43;25,67;26,73;26,48
08317;Ortenaukreis;Kreise;5,38;5,28;5,13;5,23;4,95;4,73;27,8;30,39;31,77;32,01;33,18;30,07;29,85;30,84
08325;Rottweil;Kreise;6;5,98;5,89;5,68;5,43;5,77;20,06;23,27;24,93;24,73;24,22;30,5;31,17;31,04
08326;Schwarzwald-Baar-Kreis;Kreise;6,15;6,06;5,8;5,8;6,07;6,1;24,54;26,08;27,09;25,97;26,95;38,35;38,52;38,37
08327;Tuttlingen;Kreise;2,61;2,58;2,48;2,5;2,4;2,17;19,78;21,92;23,03;22,65;22,44;43,95;45,36;46,54
08335;Konstanz;Kreise;5,85;5,83;5,65;5,58;5,62;5,64;30,27;31,7;31,5;32,47;31,61;34,6;35,65;35,33
08336;Lörrach;Kreise;3,63;3,67;3,61;3,61;3,61;3,68;24,42;25,82;25;26,95;27,59;35,34;35,72;37
08337;Waldshut;Kreise;4,18;4,19;3,55;3,43;3,42;3,39;20,61;23,12;22,45;23,54;24,74;33,58;33,94;34,49
08415;Reutlingen;Kreise;4,32;4,38;4,39;4,48;4,11;3,94;27,44;28,76;28,55;29,08;30,35;30,05;34,56;33,78
08416;Tübingen;Kreise;8,53;8,58;8,58;8,53;8,46;8,51;32,81;34,22;36,28;37,82;38,22;30,36;30,88;32,44
08417;Zollernalbkreis;Kreise;2,92;2,91;2,88;2,89;2,87;2,86;23,7;24,79;24,75;26,62;28,2;33,82;33,3;32,69
08421;Ulm, Stadtkreis;Kreise;12,28;12,09;11,95;11,93;11,82;11,81;30,66;32,49;32,83;33,54;34,65;47,39;47,45;47,46
08425;Alb-Donau-Kreis;Kreise;2,16;2,15;2,13;2,12;2,14;2,08;18,61;19,83;21,32;21,71;22,33;30,74;31,34;31,27
08426;Biberach;Kreise;4,07;4,02;3,8;3,77;3,76;3,66;19,95;22,84;23,35;24,23;25,1;26,38;27,06;27,1
08435;Bodenseekreis;Kreise;3,48;3,46;3,47;3,47;3,44;3,43;27,74;28,14;28,82;29,54;30,41;31,05;31,68;32,41
08436;Ravensburg;Kreise;6,13;6,1;6,17;6,05;5,74;5,71;21,74;23,54;23,91;24,83;25,76;26,69;27,72;28,18
08437;Sigmaringen;Kreise;5,03;5,07;5,44;4,98;5,19;4,93;20,48;24,47;25,32;25,26;27,81;28,85;28,42;26,91
09161;Ingolstadt;Kreise;9,61;9,49;9,32;9,19;9,32;9,25;24,85;24,53;23,34;25,92;26,46;40,99;42,42;44,58
09162;München, Landeshauptstadt;Kreise;7,67;7,69;7,45;7,58;7,3;7,22;33,26;34,72;35,22;36,15;36,84;44,12;44,58;45,35
09163;Rosenheim, Stadt;Kreise;9,92;12,08;12,03;11,99;11,98;12;23,05;20,74;21,68;20,82;22,03;41,36;44,52;45,61
09171;Altötting;Kreise;5,32;5,29;5,21;5,25;5,19;5,16;16,86;18,09;17,09;19,08;21,73;27,26;29,32;32,08
09172;Berchtesgadener Land;Kreise;6,18;6,37;6,11;6,01;5,98;5,98;13,99;13,22;13,04;14,43;16,77;26,7;26,6;28,25
09173;Bad Tölz-Wolfratshausen;Kreise;5,02;5,05;5,43;5,12;5,39;5,46;17,12;18,68;18,65;20,64;22,06;22,92;23,74;22,49
09174;Dachau;Kreise;3,26;2,98;2,83;2,61;3,03;3,02;26,45;26,77;26,88;27,66;27,95;24,85;25,51;26,33
09175;Ebersberg;Kreise;2,36;2,33;2,31;2,28;2,28;2,27;29,94;30,37;29,76;32,05;31,04;21,71;21,97;22,98
09176;Eichstätt;Kreise;3,48;3,46;3,46;3,45;3,51;3,5;21,41;22,46;23,88;25,65;25,62;19,06;18,95;19,75
09177;Erding;Kreise;3,05;3,07;3,01;3,1;4,42;4,4;21,93;22,85;23,37;24,41;24,09;20,97;20,39;21,34
09178;Freising;Kreise;2,01;1,98;1,97;1,96;1,96;1,95;25,49;23,89;24,53;25,39;27,38;28,54;30,59;31,65
09179;Fürstenfeldbruck;Kreise;1,75;1,74;1,54;1,58;1,43;1,36;28,47;28,47;28,16;29,39;30,16;24,18;25,95;26,35
09180;Garmisch-Partenkirchen;Kreise;15,42;15,78;14,94;15,84;14,66;14,21;19,94;20,02;18,89;22,91;21,54;17,58;18,63;23,17
09181;Landsberg am Lech;Kreise;3,98;3,96;4,19;4,19;4,26;4,24;20,7;21,78;21,69;23,81;23,64;15,99;17,27;18,77
09182;Miesbach;Kreise;4,63;4,62;4,59;4,58;4,57;4,58;24,64;24,74;24,61;24,95;24,51;17,53;18,89;20,24
09183;Mühldorf a.Inn;Kreise;3,02;3,07;2,58;3,07;3,03;2,37;16,96;18,85;18,07;20,8;22,31;24,31;25,65;27,87
09184;München;Kreise;3,93;3,9;3,95;3,85;3,44;3,41;40,42;42,02;43,39;44,25;44,02;28,32;29,89;31
09185;Neuburg-Schrobenhausen;Kreise;4,68;4,66;4,87;4,6;4,58;4,46;17,11;19,84;20,38;21,78;23,46;20,65;20,88;22,98
09186;Pfaffenhofen a.d.Ilm;Kreise;2,61;2,56;2,44;2,3;2,15;2,21;23,95;23,44;23,67;25,89;27,14;18,58;20,67;21,49
09187;Rosenheim;Kreise;10,93;10,23;10,41;10,16;10,94;10,37;19,58;19,84;19,96;21,43;22,42;15,93;16,88;17,9
09188;Starnberg;Kreise;9,45;8,83;9,49;8,88;9,28;9,21;33,62;34,68;33,48;34,09;33,75;21,21;22,04;23,32
09189;Traunstein;Kreise;4,88;5,26;5,22;5,25;5,21;5,19;15,49;15,65;16,79;17,2;18,42;23,12;24,12;24,68
09190;Weilheim-Schongau;Kreise;3,21;3,2;3,43;3,25;3,58;3,58;19,49;19,4;21,52;22,93;22,82;15,49;16,41;17,92
09261;Landshut, Stadt;Kreise;18,06;17,9;17,11;17,1;16,11;16,09;23,48;25,5;24,59;26,91;26,15;41,67;40,17;42,58
09262;Passau, Stadt;Kreise;14,27;14,02;14,22;13,82;14,12;13,94;30,61;32,53;29,43;31,59;29,67;28,44;30,42;34,78
09263;Straubing;Kreise;9,55;9,46;9,42;9,42;9,45;9,93;16,25;16,22;15,51;18,15;22,41;42,76;44,64;45,84
09271;Deggendorf;Kreise;11,08;11,02;11,12;11,21;11,27;11,5;16,95;17,42;18,55;20,4;21,7;22,21;22,76;24,55
09272;Freyung-Grafenau;Kreise;5,18;5,17;4,79;5,17;4,66;4,64;15,27;16,62;14,3;19,23;22,38;9,3;9,45;8,9
09273;Kelheim;Kreise;3,18;3,25;3,29;3,23;3,41;3,4;17,49;18,13;17,43;19,49;20,07;23,71;25,13;27,16
09274;Landshut;Kreise;1,19;1,18;1,17;1,16;1,15;1,14;18,34;19,37;20,17;20,3;24,42;19,6;19,05;19,32
09275;Passau;Kreise;3,59;3,5;3,57;3,48;3,73;3,66;18,49;18,87;20,07;21,5;23,95;15,56;16,7;18,2
09276;Regen;Kreise;4,07;4,05;4,04;4,06;4,29;4,3;16,15;16,71;18,42;18;21,77;10,76;12,59;13,29
09277;Rottal-Inn;Kreise;5,33;5,28;5,18;5,23;5,13;5,11;18,04;17,25;18,05;19,6;21,87;18,55;19,79;20,42
09278;Straubing-Bogen;Kreise;3,92;3,86;3,83;3,81;3,78;3,61;17,81;19,09;18,26;20,01;22,19;15,94;16,9;18,18
09279;Dingolfing-Landau;Kreise;1,32;1,3;1,3;1,29;1,29;1,12;18,35;17,61;17,7;16,94;20,58;29,25;29,65;31,2
09361;Amberg;Kreise;13,22;13,44;13,77;13,69;13,74;13,76;23,33;23,7;23,92;23,24;24,01;37,33;38,98;37,59
09362;Regensburg, Stadt;Kreise;18,78;18,5;18,54;18,45;18,29;18,39;29,41;30,49;29,6;28,9;30,9;37,2;38,18;40,34
09363;Weiden i.d.OPf.;Kreise;16,57;16,55;16,2;16,35;16,2;15,28;19,61;18,52;19,79;21,41;22,97;33,94;33,1;36,27
09371;Amberg-Sulzbach;Kreise;1,97;1,9;1,89;1,89;1,89;1,89;23,1;23,06;22,54;22,54;24,03;15,79;16,72;16,89
09372;Cham;Kreise;5,45;5,43;5,25;5,33;5,25;5,23;16,55;18,51;17,04;19,81;20,98;11,48;12,33;14,54
09373;Neumarkt i.d.OPf.;Kreise;3,81;3,99;3,92;3,93;4,08;3,84;16,43;18,79;19,8;19,82;21,81;15,76;16,43;17,29
09374;Neustadt a.d.Waldnaab;Kreise;1,97;1,97;1,97;1,97;1,97;1,96;24,11;25,03;23,11;23,05;23,16;15,58;15,82;15,29
09375;Regensburg;Kreise;1,26;1,25;1,24;1,24;1,24;1,17;17,92;18,94;20,2;20,58;22,56;20,89;20,74;20,38
09376;Schwandorf;Kreise;3,67;3,65;3,68;3,68;3,81;3,99;16,34;17,8;19,13;21,52;22,58;18,6;18,44;21,04
09377;Tirschenreuth;Kreise;3,98;3,99;3,7;4,03;3,42;3,42;24,86;25,93;24,17;28,12;29,95;10,53;10,03;10,7
09461;Bamberg, Stadt;Kreise;13,37;13,13;14,38;13,09;14,82;14,61;26,83;25,67;25,34;26,84;28,02;28,46;29,51;29,96
09462;Bayreuth, Stadt;Kreise;18,61;18,45;18,28;18,25;18,53;18,81;33,17;33,66;32,64;33,37;37,08;36,64;35,77;38,41
09463;Coburg, Stadt;Kreise;12,42;12,37;12,87;12,42;12,56;12,97;37,58;37,93;35,48;39,64;42,13;32,95;36,84;37,01
09464;Hof, Stadt;Kreise;10,07;9,9;9,91;9,93;9,5;9,93;28,71;25,73;26,73;29,89;31,93;37,76;38,17;42,18
09471;Bamberg;Kreise;2,12;2,11;2,12;2,03;2,12;2,11;31,55;32,02;32,02;35,52;36,64;9,97;10,39;11,67
09472;Bayreuth;Kreise;1,13;1,13;1,06;1,13;1,06;0,96;31,37;32,05;31,9;34,56;35,58;9,99;11,73;12,53
09473;Coburg;Kreise;1,07;1,07;0,94;1,1;0,97;0,91;40,27;38,94;39,13;41,75;43,35;15,56;16,58;18,03
09474;Forchheim;Kreise;2,69;2,68;2,67;2,67;2,66;2,66;31,75;30,79;33,24;33,13;33,92;15,5;15,75;16,43
09475;Hof;Kreise;6,17;6,41;6,47;6,51;6,56;6,66;32,99;34,77;32,98;33,83;33,39;14,01;14,61;17,75
09476;Kronach;Kreise;4,17;4,18;3,57;4,23;3,62;3,63;32,32;32,63;38,26;39,34;37,98;11,59;10,9;11,34
09477;Kulmbach;Kreise;7,29;7,97;7,98;7,32;8,04;8,61;32,17;35,09;33,35;36,43;40,29;14,05;14,21;15,14
09478;Lichtenfels;Kreise;11,15;11,46;10,31;10,24;11,53;12,11;30,2;31,81;32,75;37,13;37,24;17,07;16,74;17,65
09479;Wunsiedel i.Fichtelgebirge;Kreise;5,57;5,55;5,37;5,62;5,25;5,29;33,33;31,31;32,29;34,84;37,65;23,67;24,82;24,67
09561;Ansbach, Stadt;Kreise;29,59;29,36;27,89;28,66;27,13;26,91;24,4;21,68;22,82;22,52;23,79;41,32;41,84;43,64
09562;Erlangen;Kreise;19,81;19,71;19,51;19,44;18,74;18,3;41,35;40,68;41,17;41,29;40,89;34,84;35,63;35,58
09563;Fürth, Stadt;Kreise;6,87;6,72;6,89;7,41;6,86;5,97;24,1;24,09;24,58;25,48;28,05;40,33;41,78;41,23
09564;Nürnberg;Kreise;6,9;6,87;6,83;6,84;6,91;6,79;27,62;28,02;28,1;29,85;30,49;51,71;51,51;51,64
09565;Schwabach;Kreise;4,18;4,17;4,17;4,15;4,14;4,13;23,28;26,13;24,3;24,94;25,87;27,36;31,05;31,03
09571;Ansbach;Kreise;0,82;0,82;0,82;0,81;0,81;0,61;29,23;29,98;31,39;32,81;34,41;18,75;19,94;20,32
09572;Erlangen-Höchstadt;Kreise;0,85;0,97;1,02;0,95;1,06;1,05;36,58;38,06;38,98;40,86;43,03;18,31;19,53;21,57
09573;Fürth;Kreise;0;0;0;0;0;0;29,44;30,89;30,83;31,26;32,21;22,57;22,55;22,96
09574;Nürnberger Land;Kreise;5,75;5,73;5,29;5,48;5,04;5,15;33;32,94;33,87;35,82;36,14;18,52;19,5;19,88
09575;Neustadt a.d.Aisch-Bad Windsheim;Kreise;4,81;4,8;4,75;4,68;4,77;4,81;31,05;30,32;32,5;33,41;33,71;18,57;18,88;20,05
09576;Roth;Kreise;2,15;2,14;2,13;2,13;2,12;2,12;27,37;26,51;25,51;28,2;30,93;14,9;16,24;16,88
09577;Weißenburg-Gunzenhausen;Kreise;4,47;4,46;3,92;4,33;4,02;4,35;24,44;25,44;25,06;29,26;29,54;18,87;20,18;19,63
09661;Aschaffenburg, Stadt;Kreise;13,51;13,44;13,9;13,22;13,66;13,42;28,35;27,19;27,22;27,79;28,98;38,29;39,19;40,12
09662;Schweinfurt, Stadt;Kreise;17,45;17,44;17,25;17,44;17,65;17,56;24,56;24,64;22,99;24,19;26,57;58,93;60,76;60,32
09663;Würzburg, Stadt;Kreise;18,37;18,71;18,71;18,55;18,85;18,9;32,82;33;34,65;36,46;36,74;30,31;31,73;33,46
09671;Aschaffenburg;Kreise;0,24;0,24;0,24;0,24;0,24;0,24;29,1;27,33;28,33;30,31;33,64;19,31;21,07;22,32
09672;Bad Kissingen;Kreise;8,36;7,87;8,12;8,19;8,86;8,63;31,12;29,3;31,6;33,82;36,82;17,99;17,46;17,58
09673;Rhön-Grabfeld;Kreise;13,84;13,85;12,72;13,88;13,11;13,13;33,29;33,12;37,69;42,77;43,29;18,81;19,69;18,77
09674;Haßberge;Kreise;2,84;2,84;2,6;2,61;2,61;2,61;30;31,81;32,02;35,19;37,77;11,99;12,71;13,2
09675;Kitzingen;Kreise;2,73;2,71;2,7;2,69;2,67;2,63;31,73;32,93;34,26;35,19;37,24;17,61;17,56;17,88
09676;Miltenberg;Kreise;2,27;2,21;2,14;2,14;2,14;2,14;30,26;31,77;29,87;31,26;32,62;26,67;26,87;27,49
09677;Main-Spessart;Kreise;5,24;5,25;4,56;4,5;4,41;4,07;33,68;33,45;33,34;37,87;39,57;14,45;13,78;13,93
09678;Schweinfurt;Kreise;5,21;5,1;5,03;5,08;5,01;4,99;30,99;32,7;36,04;37,3;38,57;17,56;18,52;18,8
09679;Würzburg;Kreise;0,87;0,87;0,87;0,86;0,86;0,86;38,44;39,87;40,23;42;43,33;14,58;15,25;15,51
09761;Augsburg, Stadt;Kreise;10,1;9,96;10,11;10,04;10,08;9,99;23,37;23,7;23,38;23,67;25,58;50,2;50,77;51,94
09762;Kaufbeuren;Kreise;14,47;14,01;14,54;13,69;14,24;14,1;15,75;14,27;14,46;16,9;19,22;43,35;44,56;46,57
09763;Kempten (Allgäu);Kreise;8,89;8,78;12,99;8,78;13,07;13,05;20,48;21,37;21,19;23,81;25,09;44,22;44,51;45,03
09764;Memmingen;Kreise;12,57;12,51;12,39;12,34;11,72;10,53;14,22;16,22;14,25;16,94;17,87;47,77;48,23;48
09771;Aichach-Friedberg;Kreise;2,13;2,11;2,1;2,08;2,07;2,07;18,04;19,07;19,73;22,65;23,45;19,36;19,29;20,24
09772;Augsburg;Kreise;1,2;1,19;1,18;1,18;1,16;1,16;20,42;21,85;22,12;23,78;26,52;22,64;23,77;24,71
09773;Dillingen a.d.Donau;Kreise;3,35;3,33;3,3;3,28;3,26;3,24;18,38;21,26;21,34;23,66;24,18;23,7;23,87;24,71
09774;Günzburg;Kreise;8,47;8,37;8,67;8,31;8,53;8,41;19,4;19,94;19,06;21,58;22,89;26,25;27,66;27,72
09775;Neu-Ulm;Kreise;2,4;2,38;2,26;2,34;2,17;2,2;20,58;21,73;20,68;22,75;23,77;33,74;34,43;36,63
09776;Lindau (Bodensee);Kreise;7,49;7,53;7,03;7,43;6,99;6,97;23,28;23,02;24,18;25,05;27,81;21,93;22,83;22,96
09777;Ostallgäu;Kreise;3,7;3,78;3,74;3,81;3,95;3,97;16,86;16,69;15,92;17,52;17,86;16,82;17,36;18,06
09778;Unterallgäu;Kreise;3,04;2,94;2,91;2,9;2,87;2,84;15,54;17,15;16,6;19,03;20,03;18,37;18,47;18,93
09779;Donau-Ries;Kreise;4;3,98;3,98;3,98;3,94;3,92;24,45;23,45;24,53;27,29;29,99;18,73;18,82;20,19
09780;Oberallgäu;Kreise;2,89;2,98;1,36;3,06;1,36;1,35;16,58;18,04;19,15;20,74;20,22;14,56;15,47;16,44
10041;Regionalverband Saarbrücken;Kreise;7,87;7,82;8,48;8,45;8,65;8,59;25,85;26,07;26,54;27,98;28,28;31,16;30,25;31,06
10042;Merzig-Wadern;Kreise;4,63;4,64;4,43;4,39;3,86;3,18;32,4;32,37;34,74;36,71;35,48;28,27;28,46;28,88
10043;Neunkirchen;Kreise;5,22;5,25;5,68;5,59;6,28;5,08;23,61;23,4;24,34;25,65;24,01;24,34;27,55;25,56
10044;Saarlouis;Kreise;5,09;5,03;5,06;5,36;5,15;5,09;23,51;25,43;25,56;27,73;29,29;30,72;32,3;32,28
10045;Saarpfalz-Kreis;Kreise;10,18;10,45;10,57;10,52;10,6;10,75;28,92;30,86;30,85;34,04;33,13;27,02;26,84;27,03
10046;St. Wendel;Kreise;2,8;2,82;3,23;2,85;3,82;4,02;32,94;34,9;36,86;39,62;36,61;17,62;18,26;16,02
11000;Berlin, Stadt;Kreise;5,63;5,64;5,66;5,61;5,62;5,57;43,49;43,77;43,68;44,47;45,84;32,68;33,12;34,07
12051;Brandenburg an der Havel, Stadt;Kreise;12,57;12,53;13,39;13,38;13,88;13,87;55,65;57,51;57,57;59,23;61,43;5,15;5,17;6,56
12052;Cottbus, Stadt;Kreise;11,62;11,75;11,27;11,43;11,43;11,65;55,02;52,24;54,04;53,91;56,54;9,54;11,11;13,34
12053;Frankfurt (Oder), Stadt;Kreise;16,2;16,24;16,35;16,38;16,07;15,08;55,86;60,52;60,65;63,37;66,29;13,96;16,52;20,3
12054;Potsdam, Stadt;Kreise;9,15;8,99;8,34;9,16;7,9;7,87;54,44;54,09;53,3;55,79;58,55;11,96;12,61;13,69
12060;Barnim;Kreise;6,52;6,5;6,33;6,4;5,85;5,54;53,64;56,37;57,45;58,6;57,87;5,58;6,17;6,98
12061;Dahme-Spreewald;Kreise;6,04;6,03;6,12;5,87;5,93;6,14;54,71;55,28;56,81;59,5;57,03;7,07;7,31;7,69
12062;Elbe-Elster;Kreise;4,45;4,49;4,53;4,57;4,6;4,64;54,18;55,58;58,71;60,75;60,51;4,37;5,9;5,46
12063;Havelland;Kreise;3,02;3;2,98;2,96;2,93;2,91;52,3;53,97;54,77;54,81;55,23;7,08;8,02;8,77
12064;Märkisch-Oderland;Kreise;3,47;3,45;3,43;3,4;3,38;3,83;57,11;58,08;58,57;61,71;61,03;5,1;5,39;6,73
12065;Oberhavel;Kreise;5,24;5,35;5,32;5,3;5,25;5,2;52,78;54,15;55,89;57,22;58,74;6,04;7,33;7,64
12066;Oberspreewald-Lausitz;Kreise;4,58;4,62;4,3;4,48;4,27;4,16;54,91;56,69;60,52;65,76;63,02;5,05;5,87;6,35
12067;Oder-Spree;Kreise;7,59;7,71;7,7;7,69;7,7;8,01;57,36;55,21;54,56;55,83;56,18;7,78;7,96;7,47
12068;Ostprignitz-Ruppin;Kreise;11,52;11,51;11,56;11,58;10,84;9,97;51,69;56,6;58,35;61,74;61,31;4,78;5,22;6,49
12069;Potsdam-Mittelmark;Kreise;3,39;3,29;3,26;3,37;3,16;2,95;55,08;56,93;59,35;60,5;61,89;5,64;6,68;6,57
12070;Prignitz;Kreise;4,99;4,69;4,73;4,74;4,78;4,68;50,28;53,28;57,11;60,58;59,71;5,04;5,99;6,22
12071;Spree-Neiße;Kreise;4,48;4,32;4,11;4,53;4,44;4,19;60,59;61,85;60,15;62,49;67,51;6,15;8,22;8
12072;Teltow-Fläming;Kreise;2,97;3,01;3,01;2,98;2,94;2,9;51,97;46,95;46,22;48,3;54,43;6,61;8,01;8,07
12073;Uckermark;Kreise;5,76;6,07;6,03;5,94;5,95;5,73;54,59;58,16;56,77;57,05;57,62;8,55;9,07;9,66
13003;Rostock;Kreise;7,3;7,26;7,36;7,35;7,39;7,62;58,41;59,48;60,4;61,99;64,01;10,12;10,96;11,32
13004;Schwerin;Kreise;15,17;14,82;13,53;14,04;12,66;11,48;50,5;51,64;53,22;53,27;56,87;10,18;11,03;12,26
13071;Mecklenburgische Seenplatte;Kreise;6,27;6,32;6,44;6,39;6,51;6,51;56,14;55,56;58,05;58,43;58,94;4,56;5,47;6,24
13072;Landkreis Rostock;Kreise;3,66;3,66;3,65;3,64;3,66;3,64;54,2;55,96;56,79;57,04;56,32;3,88;4,49;5,15
13073;Vorpommern-Rügen;Kreise;5,05;5,04;4,9;5;5,04;5,02;55,88;54,73;57,86;59,34;59,91;4,38;5,63;6,74
13074;Nordwestmecklenburg;Kreise;3,78;3,78;3,9;3,68;3,89;3,87;53,45;56,49;57,37;56,33;57,52;4,46;4,54;4,88
13075;Vorpommern-Greifswald;Kreise;9,34;9,42;9,45;9,44;9,42;9,44;56,51;55,76;57,16;58,29;62,09;8,19;8,45;7,98
13076;Ludwigslust-Parchim;Kreise;4,49;4,52;4,49;4,5;5,23;4,42;51,56;55,02;55,31;56,51;55,28;4,6;5,27;5,97
