Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Bevölkerung gesamt
"05512";"Bottrop, Stadt";"Kreise";"117.364,00";"117.311,00"
"05513";"Gelsenkirchen, Stadt";"Kreise";"260.305,00";"260.126,00"
"05515";"Münster, Stadt";"Kreise";"313.559,00";"317.713,00"
"05554";"Borken";"Kreise";"369.718,00";"373.582,00"
"05558";"Coesfeld";"Kreise";"219.360,00";"221.352,00"
"05562";"Recklinghausen";"Kreise";"616.824,00";"612.801,00"
"05566";"Steinfurt";"Kreise";"446.565,00";"450.176,00"
"05570";"Warendorf";"Kreise";"277.458,00";"278.176,00"
"05711";"Bielefeld, Stadt";"Kreise";"332.552,00";"334.002,00"
"05754";"Gütersloh";"Kreise";"363.049,00";"366.104,00"
"05758";"Herford";"Kreise";"251.539,00";"250.635,00"
"05762";"Höxter";"Kreise";"141.565,00";"139.994,00"
"05766";"Lippe";"Kreise";"349.069,00";"346.151,00"
"05770";"Minden-Lübbecke";"Kreise";"311.207,00";"311.214,00"
"05774";"Paderborn";"Kreise";"305.362,00";"309.380,00"
"05911";"Bochum, Stadt";"Kreise";"365.529,00";"363.441,00"
"05913";"Dortmund, Stadt";"Kreise";"586.600,00";"586.852,00"
"05914";"Hagen, Stadt der FernUniversität";"Kreise";"187.730,00";"188.713,00"
"05915";"Hamm, Stadt";"Kreise";"179.185,00";"179.238,00"
"05916";"Herne, Stadt";"Kreise";"156.490,00";"156.621,00"
"05954";"Ennepe-Ruhr-Kreis";"Kreise";"324.670,00";"322.143,00"
"05958";"Hochsauerlandkreis";"Kreise";"261.591,00";"258.615,00"
"05962";"Märkischer Kreis";"Kreise";"413.383,00";"406.793,00"
"05966";"Olpe";"Kreise";"134.808,00";"133.120,00"
"05970";"Siegen-Wittgenstein";"Kreise";"277.977,00";"274.342,00"
"05974";"Soest";"Kreise";"301.693,00";"302.298,00"
"05978";"Unna";"Kreise";"393.934,00";"393.063,00"
"06411";"Darmstadt, Wissenschaftsstadt";"Kreise";"158.254,00";"159.631,00"
"06412";"Frankfurt am Main, Stadt";"Kreise";"746.878,00";"759.224,00"
"06413";"Offenbach am Main, Stadt";"Kreise";"126.658,00";"131.295,00"
"06414";"Wiesbaden, Landeshauptstadt";"Kreise";"278.654,00";"278.950,00"
"06431";"Bergstraße";"Kreise";"268.780,00";"271.166,00"
"06432";"Darmstadt-Dieburg";"Kreise";"296.048,00";"296.900,00"
"06433";"Groß-Gerau";"Kreise";"271.403,00";"276.307,00"
"06434";"Hochtaunuskreis";"Kreise";"235.995,00";"237.041,00"
"06435";"Main-Kinzig-Kreis";"Kreise";"418.208,00";"423.465,00"
"06436";"Main-Taunus-Kreis";"Kreise";"236.969,00";"239.276,00"
"06437";"Odenwaldkreis";"Kreise";"96.597,00";"96.953,00"
"06438";"Offenbach";"Kreise";"351.692,00";"357.466,00"
"06439";"Rheingau-Taunus-Kreis";"Kreise";"186.602,00";"187.229,00"
"06440";"Wetteraukreis";"Kreise";"305.312,00";"311.661,00"
"06531";"Gießen";"Kreise";"267.056,00";"272.874,00"
"06532";"Lahn-Dill-Kreis";"Kreise";"254.164,00";"253.364,00"
"06533";"Limburg-Weilburg";"Kreise";"171.971,00";"172.759,00"
"06534";"Marburg-Biedenkopf";"Kreise";"246.165,00";"246.097,00"
"06535";"Vogelsbergkreis";"Kreise";"106.451,00";"105.671,00"
"06611";"Kassel, documenta-Stadt";"Kreise";"200.736,00";"200.406,00"
"06631";"Fulda";"Kreise";"221.783,00";"223.572,00"
"06632";"Hersfeld-Rotenburg";"Kreise";"121.101,00";"120.163,00"
"06633";"Kassel";"Kreise";"236.674,00";"237.268,00"
"06634";"Schwalm-Eder-Kreis";"Kreise";"180.754,00";"180.052,00"
"06635";"Waldeck-Frankenberg";"Kreise";"157.256,00";"156.513,00"
"06636";"Werra-Meißner-Kreis";"Kreise";"101.101,00";"99.714,00"
"07111";"Koblenz, kreisfreie Stadt";"Kreise";"113.844,00";"113.638,00"
"07131";"Ahrweiler";"Kreise";"128.914,00";"128.146,00"
"07132";"Altenkirchen (Westerwald)";"Kreise";"128.791,00";"129.261,00"
"07133";"Bad Kreuznach";"Kreise";"157.549,00";"159.402,00"
"07134";"Birkenfeld";"Kreise";"80.728,00";"80.849,00"
"07135";"Cochem-Zell";"Kreise";"61.662,00";"61.735,00"
"07137";"Mayen-Koblenz";"Kreise";"213.554,00";"215.446,00"
"07138";"Neuwied";"Kreise";"181.655,00";"184.390,00"
"07140";"Rhein-Hunsrück-Kreis";"Kreise";"102.938,00";"103.767,00"
"07141";"Rhein-Lahn-Kreis";"Kreise";"122.381,00";"122.724,00"
"07143";"Westerwaldkreis";"Kreise";"201.039,00";"203.831,00"
"07211";"Trier, kreisfreie Stadt";"Kreise";"110.013,00";"110.570,00"
"07231";"Bernkastel-Wittlich";"Kreise";"112.134,00";"113.194,00"
"07232";"Eifelkreis Bitburg-Prüm";"Kreise";"98.213,00";"100.959,00"
"07233";"Vulkaneifel";"Kreise";"60.705,00";"60.882,00"
"07235";"Trier-Saarburg";"Kreise";"148.532,00";"151.167,00"
"07311";"Frankenthal (Pfalz), kreisfreie Stadt";"Kreise";"48.417,00";"48.773,00"
