Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Bevölkerung gesamt
"16055";"Weimar, Stadt";"Kreise";"64.426,00";"65.138,00"
"16061";"Eichsfeld";"Kreise";"100.645,00";"99.324,00"
"16062";"Nordhausen";"Kreise";"84.697,00";"81.687,00"
"16063";"Wartburgkreis";"Kreise";"162.761,00";"158.900,00"
"16064";"Unstrut-Hainich-Kreis";"Kreise";"103.504,00";"101.269,00"
"16065";"Kyffhäuserkreis";"Kreise";"75.818,00";"72.964,00"
"16066";"Schmalkalden-Meiningen";"Kreise";"126.665,00";"123.404,00"
"16067";"Gotha";"Kreise";"135.521,00";"133.825,00"
"16068";"Sömmerda";"Kreise";"70.027,00";"68.717,00"
"16069";"Hildburghausen";"Kreise";"63.923,00";"62.089,00"
"16070";"Ilm-Kreis";"Kreise";"106.653,00";"105.367,00"
"16071";"Weimarer Land";"Kreise";"82.131,00";"82.103,00"
"16072";"Sonneberg";"Kreise";"58.508,00";"56.504,00"
"16073";"Saalfeld-Rudolstadt";"Kreise";"105.221,00";"100.969,00"
"16074";"Saale-Holzland-Kreis";"Kreise";"82.990,00";"82.513,00"
"16075";"Saale-Orla-Kreis";"Kreise";"81.501,00";"79.030,00"
"16076";"Greiz";"Kreise";"99.275,00";"96.102,00"
"16077";"Altenburger Land";"Kreise";"90.650,00";"87.807,00"
